  objname                       	   mod0 	     vgsr 	dist
  ANDROMEDA31                   	24.4	16	758578
  ANDROMEDA32                   	24.45	-181	776247
  SKHV302                       	24.23	       -  	701455
  SKHV108                       	24.4	       -  	758578
  [SVA2008]M33EC1               	24.75	-19	891251
  ANDROMEDA33                   	24.49	-216	790679
  GHOSTS1                       	30.4	       -  	12022644
  IC3094                        	33.25	-221	44668359
  IC3032                        	30.87	1122	14927944
  M101DF1                       	29.02	       -  	6367955
  M101DF3                       	29.07	       -  	6516284
  M101DF2                       	29.19	       -  	6886523
  PGC039331                     	31.28	-37	18030177
  IC0776                        	32.53	2397	32062693
  IC3881                        	32.23	900	27925438
  SCLMMDW1                      	27.98	       -  	3944573
  [LLH2012]41                   	31.32	       -  	18365383
  PGC5067952                    	41.65	       -  	2137962090
  PGC5067955                    	41.77	       -  	2259435770
  PGC5067979                    	38.82	       -  	580764418
  PGC5067980                    	40.32	       -  	1158777356
  PGC5068230                    	35.63	9474	133659552
  H-ZSNSJ022853.88+011624.2     	43.44	       -  	4875284901
  SCPJ140159.90+050459.6        	43.85	       -  	5888436554
  SCPJ135711.96+042026.9        	43.52	       -  	5058246620
  SDSSJ021705.50+001649.0       	38.58	81556	519995997
  SDSSJ212139.25+005340.7       	40.42	89440	1213388850
  SDSSJ213511.76+000947.1       	39.81	79026	916220490
  SDSSJ221927.32+002939.9       	39.58	65231	824138115
  SDSSJ000758.69+003817.4       	40.06	       -  	1028016298
  SDSSJ211120.85-002643.3       	38.55	42955	512861384
  SDSSJ204721.99-011511.8       	39.49	       -  	790678628
  SDSSJ204810.37-011017.1       	38.46	       -  	492039536
  SDSSJ204853.05+001128.0       	37.46	       -  	310455959
  SDSSJ002713.69+010714.2       	39.84	64061	928966387
  SDSSJ020452.97-001935.2       	40.59	       -  	1312199899
  SDSSJ024204.98-003226.9       	38.92	54113	608135001
  SDSSJ225648.34+002403.9       	40.13	87228	1061695557
  SDSSJ032021.70-005308.0       	39.24	       -  	704693069
  SDSSJ220341.21+003410.3       	38.08	       -  	413047502
  SDSSJ012137.62-005838.0       	38.69	49673	547015963
  SDSSJ015951.03+003826.2       	38.65	       -  	537031796
  SDSSJ021814.72+004747.6       	39.3	63923	724435960
  SDSSJ221616.63+004229.2       	39.56	75045	816582371
  SDSSJ221841.16+003821.1       	39.54	69446	809095899
  SDSSJ011049.19+010028.4       	39.83	       -  	924698174
  SDSSJ033348.97+004233.6       	40.89	       -  	1506607066
  SDSSJ033637.49+010445.0       	39.49	       -  	790678628
  SDSSJ221310.25+010302.0       	40.06	       -  	1028016298
  SDSSJ020403.84-002157.0       	40.12	83278	1056817509
  SDSSJ004857.05-005420.6       	40.51	       -  	1264736347
  SDSSJ023354.13+001650.6       	40.67	109014	1361444682
  SDSSJ233759.60+003831.6       	40.03	       -  	1013911386
  SDSSJ235932.26+004413.8       	38.59	48671	522396189
  SDSSJ012606.80+004036.8       	40.33	       -  	1164126029
  SDSSJ205019.78-004931.0       	41.02	       -  	1599558029
  SDSSJ031833.83+000724.1       	38.05	       -  	407380278
  SDSSJ032922.06-010540.9       	40.13	       -  	1061695557
  SDSSJ205024.61-001004.4       	39.11	       -  	663743070
  SDSSJ221243.86-000205.7       	39.37	       -  	748169501
  SDSSJ000928.47+010917.7       	41.13	123355	1682674061
  SDSSJ001300.13+001453.6       	38.04	36447	405508535
  SDSSJ001423.59+001959.0       	38.63	46951	532108259
  SDSSJ011135.03-000021.2       	40.03	       -  	1013911386
  SDSSJ215108.69-005034.6       	40.31	       -  	1153453258
  SDSSJ231633.32-003947.5       	39.09	56020	657657837
  SDSSJ021902.54-001622.2       	40.06	84068	1028016298
  SDSSJ000713.58+002056.3       	39.87	       -  	941889597
  SDSSJ001303.73-003712.5       	40.2	88561	1096478196
  SDSSJ213115.60-010325.2       	40.48	93424	1247383514
  SDSSJ010445.70+003050.1       	40.19	92802	1091440336
  SDSSJ204155.88+010531.2       	39.79	       -  	907820530
  SDSSJ212451.95+002308.2       	41.2	       -  	1737800829
  SDSSJ215216.47+001601.5       	39.15	       -  	676082975
  SDSSJ235552.64+005237.2       	40.26	       -  	1127197456
  SDSSJ223603.21-002204.5       	39.9	       -  	954992586
  SDSSJ004524.41+010432.1       	39.26	       -  	711213514
  SDSSJ021706.20+003205.4       	40.3	       -  	1148153621
  SDSSJ001718.34-001526.1       	39.49	       -  	790678628
  SDSSJ205644.66+002430.0       	41.16	       -  	1706082389
  SDSSJ213256.12-004159.2       	39.02	54174	636795521
  SDSSJ215218.98+002818.9       	39.27	61485	714496326
  SDSSJ001900.83-001653.4       	40.39	       -  	1196740531
  SDSSJ032821.68-001933.9       	39.5	       -  	794328235
  SDSSJ020950.39-000342.3       	39.26	63828	711213514
  SDSSJ025040.16-000357.5       	40.44	108278	1224616199
  SDSSJ024050.12+005935.3       	41.42	       -  	1923091729
  SDSSJ204019.25-000025.8       	40.72	       -  	1393156803
  SDSSJ231351.60+011525.2       	39.96	81816	981747943
  SDSSJ221355.96+010511.4       	40.67	       -  	1361444682
  SDSSJ235005.02-005517.0       	38.99	55924	628058359
  SDSSJ231120.91-003631.1       	41.19	117348	1729816359
  SDSSJ024136.04+001218.1       	40.87	       -  	1492794410
  SDSSJ024456.67+001212.5       	41.07	       -  	1636816521
  SDSSJ222102.64-004454.2       	39.37	64591	748169501
  SDSSJ021404.48-001420.6       	37.84	35328	369828180
  SDSSJ035012.89-001424.9       	40.01	       -  	1004615790
  H-ZSNSJ074855.70+100606.3     	40.85	126695	1479108388
  [PDG95]J224418.86+000648.5    	40.88	113461	1499684836
  [K95]J025730.70-014119.8      	40.01	71944	1004615790
  SDSSJ081906.57+074321.2       	41.5	116190	1995262315
  H-ZSNSJ104850.96+000330.4     	41.96	170745	2466039337
  H-ZSNSJ082413.33+032458.5     	41.06	146754	1629296033
  H-ZSNSJ134556.16+022653.7     	41.41	148358	1914255925
  H-ZSNSJ124835.19-004603.0     	42.44	196580	3076096815
  H-ZSNSJ153011.25+055527.0     	41.55	134948	2041737945
  H-ZSNSJ134827.22+022746.6     	41.07	128874	1636816521
  [GC96]J101020.28-123309.2     	40.6	128729	1318256739
  [GC96]J120039.43-001602.4     	41.78	170774	2269864852
  [GC96A]J115033.54+102646.7    	41.7	128832	2187761624
  SCPJ082405.21+041122.6        	40.53	95792	1276438809
  SCPJ082352.67+040844.0        	42.48	173438	3133285724
