  objname                       	   mod0 	     vgsr 	dist
  ESO494-021                    	32.82	1376	36643757
  ESO494-026                    	29.06	750	6486344
  UGC04238                      	31.39	1676	18967059
  PGC022976                     	35.63	9458	133659552
  ESO430-026                    	32.6	1436	33113112
  NGC2559                       	31.01	1340	15922087
  UGC04306                      	31.86	2390	23550493
  PGC023262                     	32.16	2028	27039584
  PGC023420                     	33.74	4066	55975760
  IC2327                        	33.57	2538	51760683
  ESO495-009                    	31.24	1252	17701090
  PGC023574                     	33.92	4526	60813500
  IC2367                        	31.91	2247	24099054
  UGC04395                      	33.46	2140	49203954
  PGC023709                     	34.93	5209	96827786
  PGC023757                     	34.46	6371	77983011
  UGC04413                      	32.57	2414	32658783
  ESO431-013                    	32.9	2612	38018940
  ESO562-018                    	34.83	4524	92469817
  ESO431-016                    	32.5	2581	31622777
  PGC024189                     	34.44	5715	77268059
  ESO563-002                    	31.86	1445	23550493
  NGC2591                       	31.41	1464	19142559
  UGC04514                      	31.13	732	16826741
  ESO432-002                    	32.76	2631	35645113
  ESO496-010                    	29.67	593	8590135
  UGC04625                      	35.64	8322	134276496
  ESO563-026                    	33.02	3199	40179081
  UGC04621                      	32.64	2269	33728731
  ESO371-020                    	32.15	2141	26915348
  PGC024870                     	32.93	1800	38547836
  UGC04655                      	34.87	6061	94188960
  PGC024988                     	35.77	9068	142560759
  UGC04659                      	32.84	1784	36982818
  IC0522                        	34.18	5126	68548823
  NGC2722                       	32.66	2593	34040819
  UGC04725                      	33.14	1952	42461956
  UGC04701                      	33.05	1544	40738028
  NGC2731                       	31.67	2453	21577444
  ESO564-012                    	34.53	3346	80537844
  NGC2750                       	29.98	2605	9908319
  PGC025563                     	34.18	3585	68548823
  NGC2772                       	34.43	3214	76913044
  ESO314-005                    	34.12	4583	66680677
  PGC025794                     	34.47	5040	78342964
  UGC04800                      	33.21	2490	43853070
  PGC025886                     	32.46	1657	31045596
  UGC04824                      	32.66	2219	34040819
  ESO497-022                    	32.38	2205	29922646
  ESO564-032                    	32.73	2554	35156044
  ESO126-003                    	33.53	2699	50815944
  ESO433-010                    	32.77	1903	35809644
  UGC04867                      	33.56	2490	51522864
  ESO564-033                    	34.82	4965	92044957
  NGC2811                       	32.58	2163	32809529
  NGC2821                       	33.3	2220	45708819
  AGC249525                     	26.07	75	1636817
  IC2461                        	33.59	2240	52239619
  PGC026411                     	34.01	3258	63386971
  ESO372-016                    	32.75	2201	35481339
  UGC04970                      	33.48	2400	49659232
  ESO565-001                    	31.18	638	17218686
  UGC04945                      	29.14	788	6729767
  ESO126-010                    	32.86	1925	37325016
  IC2469                        	31.98	1442	24888573
  UGC04982                      	33.13	2726	42266861
  AGC198606                     	22.89	-47	378443
  NGC2880                       	31.68	1562	21677041
  NGC2904                       	31.84	2119	23334581
  ESO434-010                    	32.8	2285	36307805
  ESO434-011                    	31.84	2340	23334581
  PGC027054                     	34.1	4168	66069345
  UGC05086                      	29.36	404	7447320
  NGC2930                       	35.13	7305	106169556
  ESO565-029                    	32.24	2199	28054336
  ESO091-016                    	31.01	1776	15922087
  ESO373-019                    	32.86	2586	37325016
  PGC027810                     	33.52	2522	50582466
  ESO373-021                    	33.49	2426	49888449
  UGC05209                      	30.09	502	10423174
  UGC05218                      	33.55	2966	51286138
  ESO434-034                    	30.88	779	14996848
  NGC2990                       	33.17	2943	43052661
  NGC3001                       	33.73	2249	55718575
  UGC05203                      	32.4	1681	30199517
  PGC028308                     	33.17	2514	43052661
  ESO499-009                    	32.77	1874	35809644
  NGC3038                       	32.97	2566	39264494
  PGC028380                     	33.11	2341	41879357
  PGC028529                     	27.95	66	3890451
  UGC05336                      	27.93	160	3854784
  ESO435-015                    	32.39	2200	30060763
  ESO499-025                    	32.07	2200	25941794
  PGC028826                     	27.91	189	3819443
  UGC05378                      	33.76	4024	56493697
  NGC3094                       	33.25	2308	44668359
  UGC05393                      	32.15	1418	26915348
  PGC029167                     	27.83	161	3681290
  ESO499-037                    	31.14	744	16904409
  PGC029194                     	25.56	150	1294196
  NGC3113                       	31.18	870	17218686
  PGC029231                     	27.73	       -  	3515604
  UGC05428                      	27.81	-29	3647539
  NGC3057                       	31.16	1670	17060824
  PGC029299                     	29.1	550	6606934
  PGC029306                     	34.47	7088	78342964
  NGC3124                       	32.86	3364	37325016
  NGC3118                       	32.24	1306	28054336
  PGC029466                     	33.86	2656	59156163
  ESO435-044                    	33.29	1984	45498806
  IC2554                        	31.96	1183	24660393
  NGC3137                       	31.09	893	16519618
  UGC05497                      	27.85	277	3715352
  IC2556                        	32.87	2286	37497300
  ESO436-001                    	32.92	2401	38370725
  IC2560                        	32.41	2705	30338912
  ESO213-011                    	31.4	2519	19054607
  IC0600                        	31.91	1151	24099054
  ESO263-031                    	32.2	2459	27542287
  ESO436-014                    	33.29	3676	45498806
  NGC3241                       	33.02	2802	40179081
  ESO317-023                    	33.07	2534	41114972
  NGC3225                       	33.46	2200	49203954
  PGC030664                     	27.71	160	3483373
  ESO568-012                    	34.51	5500	79799469
  PGC030719                     	35.85	9596	147910839
  NGC3250C                      	33.12	2373	42072663
  NGC3257                       	32.66	2988	34040819
  NGC3256B                      	32.57	2489	32658783
  PGC031286                     	27.6	       -  	3311311
  NGC3258C                      	32.58	2346	32809529
  NGC3270                       	34.61	6194	83560302
  ESO263-051                    	32.2	2445	27542287
  IC2588                        	33.46	3308	49203954
  NGC3258D                      	31.45	2271	19498446
  IC2589                        	32.06	3465	25822602
  ESO317-046                    	30.9	745	15135612
  ESO436-038                    	34.14	2546	67297666
  IC2596                        	29.44	3174	7726806
  NGC3281D                      	32.42	2428	30478950
  ESO436-040                    	33.23	4222	44258837
  NGC3285B                      	33.08	2750	41304750
  UGC05740                      	32.05	693	25703958
  NGC3366                       	33.11	2666	41879357
  ESO501-023                    	29.23	842	7014553
  ESO501-022                    	33.75	2695	56234133
  ESO437-012                    	33.02	3356	40179081
  ESO501-041                    	33.89	3349	59979108
  ESO501-037                    	33.02	3470	40179081
  ESO437-014                    	32.9	2648	38018940
  NGC3306                       	33.2	2845	43651583
  UGC05765                      	32.96	1934	39084090
  ESO437-019                    	34.08	4160	65463617
  ESO437-018                    	34.03	3159	63973484
  ESO437-022                    	34.12	4180	66680677
  ESO501-065                    	31.29	4208	18113401
  UGC05791                      	32.19	889	27415742
  ESO437-039                    	32.99	3540	39627803
  NGC3347C                      	31.83	2442	23227368
  ESO501-078                    	33.53	4238	50815944
  ESO318-003                    	33.09	2548	41495404
  ESO501-079                    	32.87	999	37497300
  NGC3347                       	32.15	2787	26915348
  ESO376-016                    	29.2	454	6918310
  ESO501-082                    	34.28	4323	71779429
  ESO318-004                    	32.74	2720	35318317
  ESO501-088                    	34.24	3688	70469307
  NGC3377A                      	29.85	481	9332543
  ESO318-013                    	29.2	501	6918310
  UGC05944                      	30.31	831	11534533
  NGC3413                       	31.05	614	16218101
  NGC3419A                      	33.38	2988	47424199
  PGC032548                     	32.98	2317	39445730
  ESO569-014                    	32.13	1867	26668587
  ESO376-023                    	34.36	4547	74473197
  UGC05990                      	32.05	1557	25703958
  PGC032667                     	28.03	230	4036454
  NGC3449                       	33.28	3072	45289758
  NGC3454                       	31.57	1026	20606299
  NGC3435                       	34.53	5255	80537844
  UGC06083                      	32.52	862	31915379
  ESO265-003                    	31.23	1173	17619760
  NGC3513                       	29.45	1008	7762471
  ESO377-004                    	33.16	2946	42854852
  UGC06162                      	32.53	2261	32062693
  ESO265-007                    	29.8	852	9120108
  ESO438-005                    	32.09	1302	26181830
  ESO502-020                    	31.31	1192	18281002
  ESO377-021                    	32.75	2557	35481339
  NGC3589                       	31.97	2037	24774221
  ESO377-031                    	33.28	2812	45289758
  UGC06296                      	31.55	904	20417379
  ESO377-034                    	31.88	2410	23768403
  NGC3611                       	32.89	1502	37844258
  UGC06332                      	34.82	6166	92044957
  NGC3622                       	31.57	1412	20606299
  ESO570-019                    	32.01	1158	25234808
  ESO319-016                    	34.93	2682	96827786
  UGC06378                      	31.68	1425	21677041
  NGC3652                       	31.86	1998	23550493
  NGC3663                       	34.33	4865	73451387
  NGC3654                       	32.09	1691	26181830
  NGC3673                       	31.39	1751	18967059
  NGC3683A                      	32.87	2487	37497300
  NGC3701                       	32.98	2764	39445730
  NGC3752                       	32.03	2054	25468303
  NGC3735                       	32.88	2818	37670380
  NGC3755                       	32.68	1579	34355795
  UGC06586                      	34.19	3901	68865230
  PGC035978                     	34.77	6817	89949758
  ESO320-014                    	28.89	454	5997911
  PGC036132                     	34.61	6715	83560302
  IC0718                        	31.72	1892	22080047
  PGC036349                     	34.53	5928	80537844
  NGC3901                       	32.57	1828	32658783
  PGC036643                     	31.8	1573	22908677
  PGC036683                     	34.07	6978	65162839
  NGC3887                       	31.3	1049	18197009
  NGC3905                       	35.07	5625	103276141
  UGC06792                      	31.67	873	21577444
  ESO320-026                    	33.42	2597	48305880
  NGC3930                       	30.59	938	13121999
  PGC037153                     	33.43	6602	48528850
  UGC06837                      	35.31	5919	115345326
  NGC3956                       	31.72	1490	22080047
  ESO379-007                    	28.67	454	5420009
  ESO572-018                    	31.59	1438	20796967
  NGC3981                       	31.93	1555	24322040
  ESO320-035                    	32.39	2804	30060763
  ESO572-024                    	32.17	1720	27164393
  ESO572-030                    	31.01	1625	15922087
  UGC06955                      	31.07	924	16368165
  NGC4020                       	30.43	750	12189896
  ESO572-034                    	30.11	956	10519619
  ESO505-003                    	31.59	1620	20796967
  UGC07019                      	31.22	1637	17538805
  ESO440-044                    	29.82	2022	9204496
  ESO505-008                    	31.28	1699	18030177
  ESO505-009                    	32.67	1966	34197944
  ESO440-046                    	30.02	1578	10092529
  IC2996                        	31.88	2080	23768403
  NGC4094                       	31.14	1293	16904409
  IC2995                        	31.12	1674	16749429
  ESO379-027                    	33.07	2673	41114972
  IC3005                        	31.93	1546	24322040
  ESO441-007                    	31.79	2042	22803421
  IC3015                        	31.94	1855	24434306
  ESO441-011                    	32.31	1962	28973436
  ESO441-012                    	32.37	2002	29785164
  ESO505-023                    	32.28	1508	28575905
  PGC038685                     	28.43	358	4852885
  NGC4141                       	32.87	1993	37497300
  IC3021                        	33.76	2470	56493697
  ESO441-014                    	33.4	1989	47863009
  IC0764                        	31.76	1961	22490546
  IC3033                        	31.27	205	17947336
  IC3036                        	30.36	-70	11803206
  ESO321-014                    	27.59	425	3296097
  UGC07239                      	32.57	1146	32658783
  ESO380-001                    	31.31	2508	18281002
  UGC07257                      	30.47	958	12416523
  PGC039145                     	27.36	       -  	2964831
  ESO321-016                    	32.07	2994	25941794
  ESO380-006                    	32.27	2763	28444611
  NGC4219                       	31.6	1797	20892961
  UGC07301                      	32.12	761	26546056
  ESO380-008                    	31.02	1926	15995580
  UGC07356                      	29.31	328	7277798
  ESO321-025                    	30.97	1964	15631476
  NGC4356                       	31.01	1024	15922087
  NGC4373                       	32.99	3239	39627803
  NGC4384                       	31.22	2584	17538805
  NGC4373A                      	32.84	2754	36982818
  ESO322-009                    	31.84	3366	23334581
  IC3341                        	30.33	366	11641260
  ESO380-034                    	32.3	2872	28840315
  UGC07599                      	28.37	322	4720630
  ESO322-017                    	32.59	3220	32960971
  UGC07605                      	28.34	334	4655861
  PGC041093                     	29.65	456	8511380
  NGC4462                       	32.43	1645	30619634
  NGC4504                       	31.22	885	17538805
  PGC041725                     	31.39	1185	18967059
  NGC4520                       	35.29	7524	114287833
  NGC4562                       	30.22	1347	11066238
  PGC041965                     	30.88	875	14996848
  PGC041978                     	33.26	9128	44874539
  UGC07774                      	32.11	574	26424088
  ESO442-013                    	31.96	1354	24660393
  NGC4574                       	32.93	2783	38547836
  ESO322-038                    	32.46	2946	31045596
  ESO322-040                    	33.37	3172	47206304
  NGC4593                       	33.35	2364	46773514
  NGC4602                       	32.65	2437	33884416
  NGC4603                       	32.81	2412	36475395
  NGC4619                       	34.95	6952	97723722
  IC0807                        	35.06	10822	102801630
  NGC4616                       	32.96	4429	39084090
  NGC4645                       	32.36	2434	29648314
  ESO381-014                    	33.18	3135	43251383
  ESO381-018                    	28.68	452	5445027
  UGC07934                      	35.94	9698	154170045
  PGC043020                     	31.13	1374	16826741
  NGC4675                       	34.51	4875	79799469
  UGC07949                      	27.39	368	3006076
  NGC4680                       	32.91	2327	38194427
  NGC4693                       	32.42	1809	30478950
  NGC4696D                      	32.76	2464	35645113
  PGC043280                     	33.01	2680	39994475
  PGC043301                     	32.3	2142	28840315
  PGC043319                     	34.3	3751	72443596
  PGC043345                     	29.39	1198	7550922
  PGC043340                     	33.51	2961	50350061
  NGC4700                       	29.09	1294	6576578
  UGC07978                      	35.09	8095	104231743
  ESO322-101                    	32.16	1781	27039584
  PGC043379                     	32.67	2705	34197944
  NGC4708                       	34.03	4010	63973484
  PGC043412                     	32.82	2705	36643757
  NGC4709                       	33.16	4498	42854852
  PGC043458                     	32.4	2280	30199517
  ESO268-046                    	31.85	2120	23442288
  NGC4749                       	32.56	1883	32508730
  PGC043679                     	32.08	2150	26061535
  PGC043690                     	33.08	2449	41304750
  NGC4767A                      	33.28	2741	45289758
  ESO323-034                    	32.67	4143	34197944
  ESO507-041                    	32.58	3026	32809529
  ESO507-042                    	33.17	3080	43052661
  PGC043840                     	35.07	7966	103276141
  NGC4767                       	32.58	2889	32809529
  NGC4786                       	34.11	4529	66374307
  ESO443-009                    	28.88	493	5970353
  PGC043970                     	32.39	2358	30060763
  NGC4802                       	30.29	918	11428783
  ESO219-010                    	28.34	       -  	4655861
  IC3913                        	34.15	7517	67608298
  IC3908                        	31.41	1198	19142559
  NGC4818                       	30.18	964	10864256
  IC3917                        	35.77	6649	142560759
  PGC044278                     	31.85	1165	23442288
  PGC044268                     	35.02	7461	100925289
  NGC4842                       	34.94	7322	97274722
  PGC044358                     	31.69	1378	21777098
  PGC044351                     	34.81	6065	91622049
  PGC044367                     	34.65	7243	85113804
  PGC044390                     	35.24	7140	111686325
  IC3943                        	34.91	6819	95940063
  NGC4854                       	35.7	8396	138038426
  PGC044506                     	31.34	1508	18535316
  IC3959                        	35.23	7043	111173173
  PGC044560                     	36.2	7823	173780083
  PGC044581                     	33.78	6496	57016427
  PGC044592                     	33.81	8013	57809605
  PGC044616                     	34.68	6932	86297855
  PGC044681                     	29.31	699	7277798
  IC3998                        	34.73	9434	88307990
  ESO443-021                    	33.34	2661	46558609
  PGC044662                     	34.65	8105	85113804
  ESO269-028                    	33.64	3102	53456436
  PGC044704                     	35.08	6192	103752842
  IC4011                        	34.88	7283	94623716
  PGC044740                     	34.98	6152	99083194
  ESO381-041                    	31.91	2409	24099054
  PGC044763                     	35.09	7018	104231743
  NGC4906                       	35.09	7514	104231743
  PGC044792                     	34.85	7659	93325430
  PGC044809                     	35.23	8437	111173173
  PGC044805                     	34.39	7933	75509223
  PGC044821                     	34.6	8581	83176377
  NGC4897                       	33.37	2445	47206304
  IC4062                        	35.38	10902	119124201
  PGC044848                     	34.42	7654	76559661
  PGC044897                     	35.25	7658	112201845
  ESO507-067                    	32.66	2911	34040819
  PGC044928                     	34.85	5817	93325430
  PGC044929                     	35.57	7564	130016958
  PGC044982                     	28.8	627	5754399
  ESO219-021                    	30.88	1195	14996848
  PGC044975                     	34.95	7592	97723722
  IC4111                        	33.22	7776	44055486
  ESO269-037                    	27.49	568	3147748
  NGC4930                       	30.58	2420	13061709
  NGC4939                       	32.82	3009	36643757
  PGC045190                     	33.69	5522	54701596
  NGC4948                       	30.01	1234	10046158
  NGC4947                       	31.96	2246	24660393
  PGC045370                     	30.47	891	12416523
  ESO508-007                    	32.16	2848	27039584
  ESO508-011                    	32.19	2476	27415742
  ESO575-061                    	32.52	1517	31915379
  NGC4981                       	31.65	1588	21379621
  ESO323-085                    	30.43	2958	12189896
  ESO269-052                    	33.8	3040	57543994
  NGC4980                       	31.16	1284	17060824
  PGC045650                     	32.21	2456	27669416
  ESO508-019                    	32.99	2826	39627803
  ESO269-057                    	33.21	2933	43853070
  ESO576-001                    	34.48	2756	78704579
  ESO269-058                    	27.87	227	3749730
  NGC5002                       	30.42	1111	12133889
  ESO576-003                    	32.39	2834	30060763
  NGC5004A                      	34.2	7289	69183097
  ESO576-005                    	34.12	2634	66680677
  NGC5011A                      	32.51	3003	31768741
  UGC08294                      	34.48	6133	78704579
  ESO269-066                    	27.87	615	3749730
  ESO269-068                    	27.87	480	3749730
  ESO443-083                    	31.53	2227	20230192
  UGC08308                      	28.13	242	4226686
  PGC045981                     	36.08	7135	164437172
  ESO443-085                    	31.42	2251	19230917
  NGC5042                       	30.66	1259	13551894
  NGC5051                       	34.51	4278	79799469
  ESO508-034                    	31.95	1777	24547089
  IC4216                        	32.75	2745	35481339
  ESO382-031                    	31.38	1715	18879913
  ESO576-026                    	31.63	1825	21183611
  UGC08365                      	31.14	1318	16904409
  NGC5068                       	28.56	550	5152286
  ESO382-041                    	32.28	1601	28575905
  ESO576-032                    	30.39	1497	11967405
  ESO269-085                    	31.48	2698	19769696
  ESO382-045                    	30.69	1304	13740420
  ESO508-051                    	32.66	1999	34040819
  ESO576-040                    	32.33	1963	29241524
  NGC5090                       	32.88	2782	37670380
  NGC5104                       	34.31	5500	72777980
  NGC5107                       	31.42	1004	19230917
  PGC046663                     	27.99	575	3962780
  NGC5105                       	32.66	2805	34040819
  PGC046680                     	27.92	       -  	3837072
  PGC046710                     	34.53	6746	80537844
  IC4232                        	35.44	9352	122461620
  ESO508-067                    	35.17	7429	108143395
  IC4239                        	37.11	14567	264240876
  PGC046885                     	28.39	346	4764310
  NGC5145                       	33.62	1300	52966344
  ESO508-075                    	35.44	9813	122461620
  NGC5121A                      	31.22	1283	17538805
  IC4247                        	28.57	282	5176068
  ESO382-067                    	32.93	2325	38547836
  ESO444-037                    	32.61	1760	33265955
  ESO324-023                    	30.77	1288	14256076
  NGC5152                       	34.61	3766	83560302
  IC4263                        	33.11	2801	41879357
  NGC5161                       	31.63	2246	21183611
  ESO383-005                    	33.54	3465	51050500
  PGC047514                     	34.15	4122	67608298
  NGC5188                       	31.8	2271	22908677
  NGC5206                       	27.53	418	3206269
  NGC5238                       	28.27	330	4508167
  ESO270-017                    	29.21	668	6950243
  ESO444-078                    	28.67	441	5420009
  NGC5219                       	32.03	2382	25468303
  ESO324-044                    	32.5	2384	31622777
  UGC08642                      	32.6	2515	33113112
  NGC5254                       	32.26	2232	28313920
  UGC08651                      	27.47	276	3118890
  IC4316                        	28.19	451	4345102
  UGC08658                      	32.66	2127	34040819
  NGC5264                       	28.24	349	4446313
  PGC048515                     	27.83	       -  	3681290
  UGC08693                      	33.08	2499	41304750
  NGC5301                       	31.6	1598	20892961
  UGC08737                      	32.86	1924	37325016
  UGC08733                      	32.4	2422	30199517
  ESO383-087                    	27.52	191	3191538
  NGC5304                       	34.01	3650	63386971
  NGC5320                       	32.8	2692	36307805
  ESO383-091                    	30.74	939	14060475
  PGC049153                     	35.7	8562	138038426
  ESO384-002                    	30.73	1258	13995873
  ESO445-066                    	34.96	7134	98174794
  UGC08833                      	27.55	292	3235937
  ESO384-015                    	32.85	3417	37153523
  NGC5365A                      	32.53	2612	32062693
  ESO384-016                    	28.26	373	4487454
  UGC08882                      	29.69	465	8669619
  ESO510-026                    	31.75	2256	22387211
  IC4351                        	32.41	2555	30338912
  ESO445-085                    	34.39	4162	75509223
  ESO221-022                    	32.67	2757	34197944
  NGC5425                       	32.55	2179	32359366
  NGC5443                       	32.51	1919	31768741
  NGC5440                       	33.67	3761	54200089
  UGC08988                      	32.63	2213	33573761
  ESO384-043                    	34.48	4284	78704579
  UGC09024                      	32.06	2355	25822602
  NGC5468                       	33.4	2793	47863009
  NGC5464                       	32.13	2575	26668587
  ESO325-055                    	34.05	3897	64565423
  PGC050620                     	32.09	4882	26181830
  NGC5494                       	33.39	2504	47643099
  IC4386                        	31.54	1736	20323570
  PGC050911                     	29.74	454	8871560
  IC4390                        	31.52	1981	20137242
  PGC051017                     	30.7	713	13803843
  UGC09169                      	30.96	1278	15559656
  NGC5569                       	31.2	1768	17378008
  NGC5556                       	31.1	1278	16595869
  NGC5577                       	31.42	1476	19230917
  PGC051291                     	32.68	2702	34355795
  IC4402                        	31.17	1512	17139573
  IC4407                        	33.37	2679	47206304
  PGC051473                     	36.18	11190	172186857
  PGC051523                     	30.79	1665	14387986
  NGC5671                       	35.21	9138	110153931
  PGC051659                     	27.79	255	3614099
  UGC09291                      	32.92	2981	38370725
  UGC09303                      	34.63	4360	84333476
  ESO385-031                    	32.84	3000	36982818
  NGC5653                       	33.22	3639	44055486
  ESO385-033                    	32.12	2937	26546056
  ESO385-032                    	32.85	2722	37153523
  NGC5645                       	30.87	1371	14927944
  UGC09345                      	34.1	2304	66069345
  NGC5661                       	33.21	2357	43853070
  UGC09380                      	31.68	1682	21677041
  UGC09405                      	28.82	355	5807644
  NGC5708                       	32.41	2816	30338912
  UGC09448                      	33.13	2324	42266861
  NGC5688                       	32.63	2666	33573761
  IC4472                        	32.33	2740	29241524
  NGC5730                       	32.2	2636	27542287
  PGC052460                     	32.44	1848	30760968
  ESO386-016                    	35.54	7177	128233058
  ESO580-022                    	31.69	2159	21777098
  IC1055                        	33.17	2861	43052661
  ESO580-029                    	32.66	2527	34040819
  NGC5756                       	31.92	2094	24210290
  PGC052853                     	32.83	1998	36812897
  PGC052882                     	35.19	12575	109144034
  ESO580-041                    	32.33	2888	29241524
  NGC5777                       	33.16	2294	42854852
  PGC053093                     	33.19	2541	43451022
  PGC053134                     	30.9	1940	15135612
  NGC5770                       	31.37	1488	18793168
  ESO273-014                    	28.21	926	4385307
  NGC5786                       	32.02	2867	25351286
  ESO327-039                    	31.82	2806	23120648
  UGC09640                      	35.74	10072	140604752
  PGC053634                     	33.01	2887	39994475
  ESO223-009                    	29	462	6309573
  UGC09660                      	30.16	724	10764652
  PGC053764                     	32.99	2414	39627803
  PGC053779                     	31.59	1840	20796967
  PGC053796                     	33.38	2894	47424199
  UGC09749                      	19.29	-92	72111
  ESO581-025                    	32.05	2222	25703958
  NGC5878                       	32.25	1961	28183829
  ESO274-001                    	27.23	407	2792544
  PGC054411                     	31.53	1323	20230192
  UGC09798                      	35.81	11336	145211162
  ESO514-007                    	32.33	2243	29241524
  PGC054774                     	38.89	18239	599791076
  PGC054817                     	32.61	1932	33265955
  ESO514-014                    	34.28	3636	71779429
  ESO514-022                    	34.14	4388	67297666
  NGC5984                       	31.44	1166	19408859
  IC4582                        	32.86	2256	37325016
  NGC6000                       	32.65	2141	33884416
  ESO515-010                    	34.39	5694	75509223
  PGC056286                     	36.21	11091	174582215
  UGC10095                      	32.47	2022	31188896
  PGC056443                     	35.82	9716	145881426
  ESO583-008                    	35.65	7377	134896288
  PGC057064                     	36.37	10358	187931682
  ESO451-008                    	34.58	4635	82413812
  IC1197                        	31.77	1435	22594358
  UGC05456                      	30.14	426	10665961
  ESO136-024                    	33.53	4385	50815944
  ESO584-007                    	35.65	9493	134896288
  UGC10288                      	32.66	2096	34040819
  UGC10297                      	32.83	2412	36812897
  ESO137-007                    	33.19	4839	43451022
  ESO137-010                    	33.64	3283	53456436
  IC4596                        	35.83	7606	146554784
  NGC6106                       	31.89	1527	23878113
  ESO137-018                    	28.84	484	5861382
  NGC6172                       	34.64	5074	84722741
  UGC10483                      	36.2	12384	173780083
  ESO517-013                    	35.76	8275	141905752
  PGC058798                     	31.64	1620	21281390
  PGC059076                     	35.41	9001	120781384
  UGC05642                      	33.1	2222	41686938
  UGC10743                      	33.05	2680	40738028
  PGC059808                     	35.05	8275	102329299
  NGC3279                       	32.47	1285	31188896
  IC4660                        	30.04	1433	10185914
  NGC6365                       	35.27	8216	113240036
  ESO138-024                    	31.96	2761	24660393
  UGC10852                      	32.56	2907	32508730
  NGC6372                       	33.07	4913	41114972
  UGC10874                      	35.53	6968	127643881
  PGC060376                     	35.42	8883	121338885
  NGC3332                       	34.54	5723	80909590
  PGC060771                     	36.24	1992	177010896
  UGC10985                      	31.07	1949	16368165
  NGC6467                       	33.26	3195	44874539
  NGC6484                       	33.61	3284	52722986
  UGC11030                      	32.22	1875	27797133
  UGC11041                      	34.23	5048	70145530
  UGC11050                      	34.27	5050	71449633
  ESO139-046                    	32.1	2721	26302680
  UGC11074                      	32.05	2028	25703958
  ESO139-049                    	32.28	2657	28575905
  PGC061289                     	34.03	4825	63973484
  PGC061353                     	32.19	1932	27415742
  NGC6548                       	31.79	2357	22803421
  UGC05897                      	32.75	2611	35481339
  ESO140-006                    	31.84	2281	23334581
  NGC6585                       	32.48	3032	31332857
  UGC11182                      	34	4495	63095734
  IC4694                        	32.46	2689	31045596
  PGC061658                     	30.55	3146	12882496
  UGC11188                      	33.7	5454	54954087
  UGC11194                      	34.02	4916	63679552
  ESO182-010                    	31.68	3478	21677041
  NGC6627                       	34.33	5434	73451387
  UGC11255                      	35.38	9937	119124201
  UGC11254                      	33.79	5182	57279603
  UGC11295                      	33.08	2566	41304750
  UGC11275                      	35.23	5655	111173173
  IC4721                        	31.48	2157	19769696
  UGC11301                      	34.3	4675	72443596
  UGC11334                      	35.01	4773	100461579
  UGC11317                      	34.96	6777	98174794
  UGC11344                      	33.83	4025	58344510
  NGC6673                       	30.16	1060	10764652
  UGC11350                      	34.13	4887	66988461
  IC4758                        	33.9	4387	60255959
  UGC11371                      	33.43	3945	48528850
  ESO396-007                    	34.34	5862	73790423
  UGC11380                      	32.19	3090	27415742
  UGC11385                      	33.15	3300	42657952
  IC4810                        	32.71	3116	34833732
  UGC11394                      	34.06	4432	64863443
  IC4819                        	31.55	1764	20417379
  UGC11404                      	32.88	4114	37670380
  IC4821                        	31.99	2638	25003454
  ESO282-018                    	33.97	5584	62230029
  IC4837A                       	33.56	2790	51522864
  NGC6796                       	32.86	2410	37325016
  UGC11433                      	33.58	4654	51999600
  ESO525-004                    	34.61	6147	83560302
  NGC6788                       	33.18	3110	43251383
  UGC11459                      	33.38	3347	47424199
  PGC063540                     	34.47	6094	78342964
  PGC063556                     	29.65	1628	8511380
  ESO460-031                    	34.59	5852	82794216
  ESO398-029                    	34.44	5686	77268059
  ESO594-017                    	31.32	1826	18365383
  ESO461-006                    	34.44	5986	77268059
  IC4901                        	31.26	2068	17864876
  PGC063832                     	34.07	4987	65162839
  ESO339-008                    	34.17	5684	68233869
  PGC063925                     	36.33	12078	184501542
  IC4919                        	33.78	4210	57016427
  UGC11515                      	30.35	3475	11748976
  PGC064373                     	34.89	5698	95060479
  NGC6887                       	32.39	2660	30060763
  ESO340-009                    	32.29	2594	28707806
  UGC11537                      	34.33	5560	73451387
  NGC6911                       	32.45	2704	30902954
  ESO340-017                    	32.98	2627	39445730
  PGC064534                     	34.4	5778	75857758
  UGC11545                      	31.2	3179	17378008
  NGC6901                       	34.32	4959	73113908
  NGC6906                       	34.08	5027	65463617
  NGC6902                       	32.33	2786	29241524
  UGC11552                      	34.42	4709	76559661
  ESO400-025                    	32.5	2210	31622777
  PGC064812                     	33.85	5731	58884366
  ESO340-038                    	33.7	5536	54954087
  NGC6923                       	32.55	2876	32359366
  UGC11584                      	34.75	5511	89125094
  ESO234-043                    	31.4	2415	19054607
  NGC6949                       	32.35	2984	29512092
  ESO340-042                    	31.63	2664	21183611
  UGC11595                      	33.64	4175	53456436
  UGC11603                      	33.89	5423	59979108
  UGC11599                      	33.97	4635	62230029
  PGC065131                     	33.2	4039	43651583
  UGC11613                      	32.79	2893	36140986
  PGC065211                     	32.87	3087	37497300
  IC5039                        	31.67	2757	21577444
  ESO234-069                    	33.96	4340	61944108
  UGC11647                      	35.29	8203	114287833
  NGC6986                       	35.35	8633	117489755
  UGC11656                      	34.04	4766	64268772
  ESO342-013                    	31.35	2657	18620871
  UGC11706                      	34.61	4931	83560302
  NGC7041                       	32.03	1920	25468303
  UGC11719                      	35.97	8743	156314764
